Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/08/2025 00:00;SUD;60,128;+;691,889;9,49;84,76;0;84,76
01/08/2025 00:00;NORD;-52,895;-;-691,889;1.961,25;262,03;0;262,03
01/08/2025 00:15;SUD;54,622;+;673,804;38,27;75,485;0;75,485
01/08/2025 00:15;NORD;23,034;+;-673,804;1.874,60;75,142;0;75,142
01/08/2025 00:30;NORD;34,459;+;-724,535;1.881,41;84;0;84
01/08/2025 00:30;SUD;88,584;+;724,535;39,889;74,543;0;74,543
01/08/2025 00:45;NORD;9,311;+;-741,489;1.940,61;120,423;-7,863;112,56
01/08/2025 00:45;SUD;52,152;+;741,489;44,966;0;0;0
01/08/2025 01:00;SUD;66,977;+;802,876;61,732;6,063;0;6,063
01/08/2025 01:00;NORD;-65,496;-;-802,876;1.915,72;238,613;0;238,613
01/08/2025 01:15;SUD;87,409;+;804,168;61,611;120,231;-4,231;116
01/08/2025 01:15;NORD;-37,13;-;-804,168;1.916,66;194,934;0;194,934
01/08/2025 01:30;NORD;-3,185;-;-800,138;1.909,50;204,812;0;204,812
01/08/2025 01:30;SUD;69,773;+;800,138;61,604;124,086;-8,086;116
01/08/2025 01:45;NORD;-51,825;-;-806,328;1.934,85;187,3;0;187,3
01/08/2025 01:45;SUD;27,475;+;806,328;65,487;124,086;-8,086;116
01/08/2025 02:00;SUD;56,888;+;813,645;77,868;113,414;0;113,414
01/08/2025 02:00;NORD;-81,199;-;-813,645;1.958,57;200,919;0;200,919
01/08/2025 02:15;SUD;29,92;+;821,472;82,474;125,133;-10,133;115
01/08/2025 02:15;NORD;-54,384;-;-821,472;1.888,83;190,357;0;190,357
01/08/2025 02:30;NORD;-47,834;-;-814,047;1.915,19;183,006;0;183,006
01/08/2025 02:30;SUD;29,53;+;814,047;83,705;125,133;-10,133;115
01/08/2025 02:45;NORD;-72,061;-;-819,126;1.904,83;185,29;0;185,29
01/08/2025 02:45;SUD;17,693;+;819,126;84,633;125,133;-10,133;115
01/08/2025 03:00;SUD;24,706;+;840,471;71,53;125,133;-16,133;109
01/08/2025 03:00;NORD;-58,97;-;-840,471;1.940,96;182,813;0;182,813
01/08/2025 03:15;SUD;30,547;+;818,505;64,882;125,133;-16,133;109
01/08/2025 03:15;NORD;-47,937;-;-818,505;1.954,01;180,524;0;180,524
01/08/2025 03:30;NORD;-41,769;-;-781,35;1.949,20;181,56;0;181,56
01/08/2025 03:30;SUD;23,696;+;781,35;56,505;125,133;-16,133;109
01/08/2025 03:45;NORD;36,507;+;-776,79;1.839,39;15,212;0;15,212
01/08/2025 03:45;SUD;21,526;+;776,79;46,169;124,98;-15,98;109
01/08/2025 04:00;SUD;-13,102;-;852,353;39,306;162,198;0;162,198
01/08/2025 04:00;NORD;-21,105;-;-852,353;1.966,66;184,964;0;184,964
01/08/2025 04:15;SUD;-39,257;-;819,592;38,752;167,255;0;167,255
01/08/2025 04:15;NORD;-53,054;-;-819,592;1.963,85;187,784;0;187,784
01/08/2025 04:30;NORD;-1,367;-;-819,83;1.988,87;185,486;0;185,486
01/08/2025 04:30;SUD;-25,552;-;819,83;37,749;159,942;0;159,942
01/08/2025 04:45;NORD;-2,364;-;-793,834;1.966,79;179,672;0;179,672
01/08/2025 04:45;SUD;-41,554;-;793,834;37,129;167,517;0;167,517
