MTU (CET/CEST);Generation - Solar [MW] Day Ahead/ Italy (IT);Generation - Solar [MW] Intraday / Italy (IT);Generation - Solar [MW] Current / Italy (IT);Generation - Wind Offshore [MW] Day Ahead/ Italy (IT);Generation - Wind Offshore [MW] Intraday / Italy (IT);Generation - Wind Offshore [MW] Current / Italy (IT);Generation - Wind Onshore [MW] Day Ahead/ Italy (IT);Generation - Wind Onshore [MW] Intraday / Italy (IT);Generation - Wind Onshore [MW] Current / Italy (IT)
01.01.2025 00:00 - 01.01.2025 00:15;0;N/A;0;n/e;n/e;n/e;570;570;n/e
01.01.2025 00:15 - 01.01.2025 00:30;0;N/A;0;n/e;n/e;n/e;553;553;n/e
01.01.2025 00:30 - 01.01.2025 00:45;0;N/A;0;n/e;n/e;n/e;572;572;n/e
01.01.2025 00:45 - 01.01.2025 01:00;0;N/A;0;n/e;n/e;n/e;577;577;n/e
01.01.2025 01:00 - 01.01.2025 01:15;0;N/A;0;n/e;n/e;n/e;664;664;n/e
01.01.2025 01:15 - 01.01.2025 01:30;0;N/A;0;n/e;n/e;n/e;668;668;n/e
01.01.2025 01:30 - 01.01.2025 01:45;0;N/A;0;n/e;n/e;n/e;667;667;n/e
01.01.2025 01:45 - 01.01.2025 02:00;0;N/A;0;n/e;n/e;n/e;666;666;n/e
01.01.2025 02:00 - 01.01.2025 02:15;0;N/A;0;n/e;n/e;n/e;663;663;n/e
01.01.2025 02:15 - 01.01.2025 02:30;0;N/A;0;n/e;n/e;n/e;667;667;n/e
01.01.2025 02:30 - 01.01.2025 02:45;0;N/A;0;n/e;n/e;n/e;676;676;n/e
01.01.2025 02:45 - 01.01.2025 03:00;0;N/A;0;n/e;n/e;n/e;673;673;n/e
01.01.2025 03:00 - 01.01.2025 03:15;0;N/A;0;n/e;n/e;n/e;675;675;n/e
01.01.2025 03:15 - 01.01.2025 03:30;0;N/A;0;n/e;n/e;n/e;589;589;n/e
01.01.2025 03:30 - 01.01.2025 03:45;0;N/A;0;n/e;n/e;n/e;584;584;n/e
01.01.2025 03:45 - 01.01.2025 04:00;0;N/A;0;n/e;n/e;n/e;583;583;n/e
01.01.2025 04:00 - 01.01.2025 04:15;0;N/A;0;n/e;n/e;n/e;565;543;n/e
01.01.2025 04:15 - 01.01.2025 04:30;0;N/A;0;n/e;n/e;n/e;557;542;n/e
01.01.2025 04:30 - 01.01.2025 04:45;0;N/A;0;n/e;n/e;n/e;543;544;n/e
01.01.2025 04:45 - 01.01.2025 05:00;0;N/A;0;n/e;n/e;n/e;542;544;n/e
01.01.2025 05:00 - 01.01.2025 05:15;0;N/A;0;n/e;n/e;n/e;527;536;n/e
01.01.2025 05:15 - 01.01.2025 05:30;0;N/A;0;n/e;n/e;n/e;534;544;n/e
01.01.2025 05:30 - 01.01.2025 05:45;0;N/A;0;n/e;n/e;n/e;541;548;n/e
01.01.2025 05:45 - 01.01.2025 06:00;0;N/A;0;n/e;n/e;n/e;536;560;n/e
01.01.2025 06:00 - 01.01.2025 06:15;0;N/A;0;n/e;n/e;n/e;545;558;n/e
01.01.2025 06:15 - 01.01.2025 06:30;0;N/A;0;n/e;n/e;n/e;541;535;n/e
01.01.2025 06:30 - 01.01.2025 06:45;0;N/A;0;n/e;n/e;n/e;538;552;n/e
01.01.2025 06:45 - 01.01.2025 07:00;0;N/A;0;n/e;n/e;n/e;537;562;n/e
01.01.2025 07:00 - 01.01.2025 07:15;0;N/A;0;n/e;n/e;n/e;529;547;n/e
01.01.2025 07:15 - 01.01.2025 07:30;0;N/A;5;n/e;n/e;n/e;509;544;n/e
01.01.2025 07:30 - 01.01.2025 07:45;28;N/A;41;n/e;n/e;n/e;494;523;n/e
01.01.2025 07:45 - 01.01.2025 08:00;118;N/A;125;n/e;n/e;n/e;515;486;n/e
01.01.2025 08:00 - 01.01.2025 08:15;573;N/A;556;n/e;n/e;n/e;505;527;n/e
01.01.2025 08:15 - 01.01.2025 08:30;1116;N/A;1090;n/e;n/e;n/e;470;499;n/e
01.01.2025 08:30 - 01.01.2025 08:45;1702;N/A;1709;n/e;n/e;n/e;427;463;n/e
01.01.2025 08:45 - 01.01.2025 09:00;2455;N/A;2428;n/e;n/e;n/e;410;432;n/e
01.01.2025 09:00 - 01.01.2025 09:15;3345;N/A;3199;n/e;n/e;n/e;369;380;n/e
01.01.2025 09:15 - 01.01.2025 09:30;4173;N/A;4028;n/e;n/e;n/e;382;368;n/e
01.01.2025 09:30 - 01.01.2025 09:45;5065;N/A;4962;n/e;n/e;n/e;326;312;n/e
01.01.2025 09:45 - 01.01.2025 10:00;5923;N/A;5640;n/e;n/e;n/e;317;302;n/e
01.01.2025 10:00 - 01.01.2025 10:15;6535;N/A;6352;n/e;n/e;n/e;273;271;n/e
01.01.2025 10:15 - 01.01.2025 10:30;7252;N/A;7092;n/e;n/e;n/e;262;259;n/e
01.01.2025 10:30 - 01.01.2025 10:45;7771;N/A;7645;n/e;n/e;n/e;297;306;n/e
01.01.2025 10:45 - 01.01.2025 11:00;8274;N/A;8165;n/e;n/e;n/e;307;308;n/e
01.01.2025 11:00 - 01.01.2025 11:15;8676;N/A;8540;n/e;n/e;n/e;292;302;n/e
01.01.2025 11:15 - 01.01.2025 11:30;8770;N/A;8709;n/e;n/e;n/e;267;255;n/e
01.01.2025 11:30 - 01.01.2025 11:45;8935;N/A;8924;n/e;n/e;n/e;226;221;n/e
01.01.2025 11:45 - 01.01.2025 12:00;9232;N/A;9121;n/e;n/e;n/e;241;214;n/e
01.01.2025 12:00 - 01.01.2025 12:15;9402;N/A;9332;n/e;n/e;n/e;297;244;n/e
01.01.2025 12:15 - 01.01.2025 12:30;9386;N/A;9286;n/e;n/e;n/e;287;231;n/e
01.01.2025 12:30 - 01.01.2025 12:45;9296;N/A;9307;n/e;n/e;n/e;295;259;n/e
01.01.2025 12:45 - 01.01.2025 13:00;9324;N/A;9326;n/e;n/e;n/e;305;276;n/e
01.01.2025 13:00 - 01.01.2025 13:15;9090;N/A;9166;n/e;n/e;n/e;295;309;n/e
01.01.2025 13:15 - 01.01.2025 13:30;8856;N/A;8938;n/e;n/e;n/e;344;352;n/e
01.01.2025 13:30 - 01.01.2025 13:45;8444;N/A;8587;n/e;n/e;n/e;361;355;n/e
01.01.2025 13:45 - 01.01.2025 14:00;8036;N/A;8092;n/e;n/e;n/e;390;384;n/e
01.01.2025 14:00 - 01.01.2025 14:15;7477;N/A;7545;n/e;n/e;n/e;410;391;n/e
